"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"MIDDLE GREENWICH DAM","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","Spillway Chute Failure","High Reservoir Level","","NY01070-1326","EAP has been activated due to high flows.  There is water flowing though some cracks on the dam.  Region 5 (RG) inspected dam on 8/30 and observed concrete wall has shifted.  Hurricane Irene","Irene","Yes","","","","","","","","","","P","","H","N","10 ft","80 ac-ft","9 acres","1902","NY01070","BATTEN KILL","43.0864","-73.4956","0","NYS DEC","","","","",""
"MIDDLEBROOK DEVELOP. LAKE DAM","MO","L","Non-failure","12/29/2015","Deterioration Or Poor Condition","Spillway Pipe Failure","","","MO30163-2856","principal spillway pipe partially failed (CMP 20 approximately 20 yrs old)","","No","","0","","","","","","","","P","RE","R","N","49 ft","270 ac-ft","18 acres","1971","MO30163","TR-EAST FORK BLACK RIVER","37.5711","-90.8693","2001","DAM AND RESERVOIR SAFETY PROG","","","","",""
"MIKE HORSE","MT","","Failure","01/01/1975","Unknown","Unknown","","","MT00000-130","","","No","","","","","","","","","1975 flood washed thousands of tons of mine tailings downstream & killed most of the aquatic life in the upper 10 miles of the Blackfoot River","","","","","0 ft","0 ac-ft","0 acres","0","MT00000","","0","0","0","","","","","",""
"MIKE WILLIAMS DAM","MS","S","Failure","08/29/2012","Hydrologic/flooding","Overtopping","","","MS00000-1444","OVERTOPPING-AS REPORTED BY OWNER WHO WAS ONSITE AT THE TIME OF FAILURE.","","","","0","","0","Roads","","","135 ac-ft","TWO PAVED ROADS WASHED OUT","","RE","R","","18 ft","0 ac-ft","0 acres","2005","MS00000","UNNAMED TRIBUTARY","0","0","0","MS DEQ","","","","",""
"MILL","PA","H","Non-failure","09/08/2011","Hydrologic/flooding","Overtopping","","","PA00711-3215","EAP EVACUATIONS DUE TO OVERTOPPING INUNDATION.  AT THE TIME IT WAS UNCERTAIN WHETHER DAM HAD FAILED.","TS Lee","Yes","0","","","","","","REMOVAL OF THE DAM IS SCHEDULED IN 2018","","DAM HAS BEEN DRAWN DOWN SINCE 1986","S","MS","OR","Y","25 ft","24 ac-ft","1 acres","1937","PA00711","HOSPITAL CREEK","40.3286","-76.1114","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"MILL CREEK DAM","MD","L","Failure","06/25/2006","Hydrologic/flooding","Unknown","","","MD00214-3092","Breached during rain event","","No","","","","","","","","","","P","RE","RI","NR","11 ft","78 ac-ft","11 acres","1930","MD00214","MILL CREEK","38.5947","-75.8272","1999","MD DAM SAFETY","","","","MDE Dam Safety Program",""
"MILL POND DAM","MD","","Failure","07/07/2017","Hydrologic/flooding","Unknown","","","MD00572-3077","4.5 inches of rain in three hours caused failure of dam (unknown if overtopping or piping). Dam had previsouly failed and been repaired without proper engineering or permits.","","No","","","","","","","","","","","RE","","","10 ft","25 ac-ft","0 acres","0","MD00572","","38.3193","-76.5177","0","MD DAM SAFETY","","","","MDE Dam Safety Program",""
"MILL RIVER","MA","H","Failure","01/01/1874","Unknown","Unknown","","","MA00000-100","","","No","139","","","","","","","","Faulty Construction Fatalities: 139 - including 43 children under age of 10","","RE","O","","40 ft","0 ac-ft","0 acres","0","MA00000","MILL RIVER ON THE CONNECTICUT RIVER","0","0","0","","","","","",""
"MILLET SWALE","AZ","H","Failure","07/24/2021","Malfunction Of Equipment/gate","High Reservoir Level","Piping","Animal Activity","AZ00059-3492","Heavy, localized monsoon activity resulted in rapid inflow to the reservoir.  Continuous leak erosion/piping possbly along a defect in the embankment such as a crack or animal burrow.  No corrective actions were taken at the dam when the leak was first detected.  The gate was not completely open and is believed to have malfunctioned.  A leak was observed from the lower portion of the downstream slope which eventually developed into a full breach, approximately 50-60 feet wide.","","No","0","Unknown","Unknown","Unknown","Unknown","Unknown","Dam owner did not notify the State agency of the leak at the downstream face.  State employee from the area heard about the incident and the State contacted the owner who confirmed the leak from the dam.  State agency was notified in the evening of July 25, 2021 of full breach of the dam.","990 ac-ft","Site visit on July 26, 2021 with representatives from state agency, the owner, and Navajo County Flood Control.  A plan of action was developed where it was agreed the next steps would be to stabilize the breach with riprap and install ALERT gages both at the breach and upstream.","P","RE","CI","N","35 ft","2800 ac-ft","125 acres","1958","AZ00059","MILLET SWALE","34.4306","-110.041","0","ADWR","7:00 PM","Hours","No","ADWR",""
"MILLION RESERVOIR","CO","H","Non-failure","10/07/2020","Seepage/internal Erosion","Excessive/increased Seepage","Overtopping","","CO00776-3448","USFS Initiated level 2 EAP based on reports of seepage and overtopping.  State of CO Engineers mobilized to site and found non-emergency situation.","","Yes","0","0","0","0","","","","","","F","RE","IR","Y","25 ft","240 ac-ft","0 acres","1953","CO00776","DITCH FROM MILL CREEK","37.6226","-106.67","2009","DWR","9:30 AM","3 hours","No","CO DWR",""
"MILLSTONE","PA","L","Non-failure","06/01/2013","Unknown","Overtopping","","","PA00000-3228","CONCRETE SLAB AT THE BASE OF DAM HAS MOVED 1 TO 2 FT, COMPROMISING THE DAMS STABILITY","","","0","0","","","","","FEDERAL DAM WITH NO STATE JURISDICTION.  OWNER NOTIFIED CAMPGROUND DOWNSTREAM.","","NO PA DAM SAFETY INSPECTIONS SINCE 1993.  UNKNOWN IF REPAIRS WERE MADE.","F","RECN","F","","5 ft","0 ac-ft","0 acres","0","PA00000","EAST BRANCH MILLSTONE CREEK","41.2406","-79.0454","0","PADEP","","","","PA Dam Safety",""
"MINA","SD","S","Non-failure","04/04/2019","Hydrologic/flooding","Spillway Chute Failure","","","SD00016-3407","During heavy spring runoff the lower portions of several slab panels along the toe of the primary concrete spillway where displaced and washed downstream.","","No","0","0","0","0","","","Increased monitoring of the spillway until water levels decreased, an in-depth spillway inspection and assessment was done Summer 2019, temporary repair was completed in Spring 2020, an updated breach analysis was done, and owner has  started planning on a full replacement.","","","S","RE","R","N","32 ft","19000 ac-ft","850 acres","1934","SD00016","SNAKE CREEK","45.4417","-98.7317","2001","DENR","","","","SD Dam Safety",""
"MINE LAKE DAM","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY00767-1306","dam had overtopped 6-12"", erosion but structurally sound. Hurricane Irene","Irene","Yes","","","","","","","","","","F","CN","TSR","Y","22 ft","235 ac-ft","25 acres","1845","NY00767","BROOKS HOLLOW CREEK","41.2045","-74.0236","1982","NYS DEC","","","","",""
"MINSI LAKE","PA","H","Non-failure","04/01/2013","Deterioration Or Poor Condition","Spillway Chute Failure","","","PA00788-3193","A LARGE SPALL CAME OFF THE SPILLWAY FLOOR SLAB.","","No","0","0","","","","","LAKE DRAWN DOWN BY 2.5 FT & IN AUGUST CONCRETE REPLACED IN SPALLS.  TOTAL REHAB. IS PLANNED.","","PERMIT FOR SPILLWAY REPLACEMENT & DAM REPAIRS ISSUED IN OCT. 2017.  CONSTRUCTION PENDING IN 2018.","S","RE","R","Y","26 ft","1793 ac-ft","117 acres","1970","PA00788","EAST BRANCH MARTINS CREEK","40.9117","-75.1697","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"MIRROR DAM","CO","L","Failure","09/13/2013","Hydrologic/flooding","Unknown","","","CO00000-2131","Colorado Flooding of 9-13","","","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","CO00000","","0","0","0","","","","","",""
"MIRROR LAKE DAM","NC","H","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","NC02151-2971","dam overtopped and partially breached.  Mirror Lake Drive severely damaged, downstream face of dam completely damamaged","Matthew","No","0","","0","","","$1 million to $5 million","","","","L","RE","R","Y","12 ft","24 ac-ft","0 acres","0","NC02151","HYBART'S BRANCH","35.0544","-78.9222","2002","NCDENR","","1 day","","NCDEQ",""
"MISSELBECK","CA","H","Non-failure","06/03/2019","Other","Other","","","CA01027-3256","Sediment build up in the reservoir has likely caused the entrance of the outlet works to become plugged. A combined release of ~1 cfs from both pipes while all four valves were fully open was observed during inspections.","","Yes","0","0","0","0","None","None","Immediate response by dam owner and Division of Safety of Dams","","","U","RE","CS","Y","96 ft","3600 ac-ft","113 acres","1920","CA01027","NFK COTTONWOOD CR","40.5003","-122.697","0","DWR, SAFETY OF DAMS","","","Yes","CA DSOD",""
"MISSION - SANDY SPRINGS LAKE DAM","GA","","Non-failure","06/05/2013","Hydrologic/flooding","Spillway Pipe Failure","Slope Stability","","GA00000-1660","Occurred during a heavy rainfall event but included pipe failure and slope instability - see the attached report for more detail.","","No","","100","","0","Roads","","","13 ac-ft","The dam is exempt from GA Safety Dams regulation.  It is located in Fulton Co. but otherwise minimal information on the dam.","","","","","0 ft","0 ac-ft","0 acres","0","GA00000","","0","0","0","","","","","","Y"
"MITCH-001","NC","","Failure","01/01/2008","Hydrologic/flooding","Unknown","","","NC00000-175","","","No","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","NC00000","","0","0","0","","","","","",""
"MLSNA","WI","H","Failure","08/28/2018","Hydrologic/flooding","Abutment Failure","Erosion","","WI00403-3332","High flows resulted in breach and failure of auxiliary spillway and abutment","","Yes","0","Unknown","Unknown","Unknown","Roads, Bridges","","","","Significant town road, culvert, and bridge damages.  Major streambank, pasture and ag field damages, personal driveways, culverts and fencing. Didn't activate EAP because failure occurred quickly overnight. People were evacuated, numbers unknown.  Assuming some wet basements.","L","RE","CD","Y","35 ft","257 ac-ft","18 acres","1956","WI00403","TR KNAPP CREEK","43.7122","-90.7524","0","WIDNR","","1 day","Yes","WI DNR",""
"MOCCASIN LOWER","CA","H","Non-failure","03/22/2018","Other","Insufficient Spillway Capacity","Reservoir Overfilling","Spillway Erosion/head Cutting","CA00122-3257","Blockage of Moccasin Creek Bypass Tunnel caused sudden rise of the reservoir above core wall to nearly the dam crest because of insufficient spillway capacity. More in Remarks.","","Yes","0","20","1","1","Water/sewer lines","$25 million to $50 million","Immediate response by dam owner, Division of Safety of Dams, and first responders.","","Fish Hachery immediately downstream was evacuated - likely less than 20 people","L","RE","HOS","Y","60 ft","554 ac-ft","29 acres","1930","CA00122","MOCCASIN CREEK","37.8123","-120.306","0","DWR, SAFETY OF DAMS","","2 days","Yes","CA DSOD",""
"MODEL","CO","L","Failure","08/08/2013","Seepage/internal Erosion","Piping","","","CO00542-2091","Embankment failure due to erosion piping.  An 8-ft-square erosion pipe formed in the embankment, draining the reservoir but not fully breaching the dam.","","","","","","","","","","","The failure went unnoticed due to it's remote location and other incidents happening at about the same time.  The date of the actual failure is estimated.","","RE","IP","NR","39 ft","29943 ac-ft","420 acres","1921","CO00542","BLACK HILLS ARROYO-TR","37.3283","-104.389","0","DWR","","","","",""
"MONONAME 352","MO","L","Non-failure","03/15/2016","Structural Stability","Sliding","","","MO30528-2855","land slide on downstream face of dam reported","","","","","","","","","","","","P","RE","S","NR","26 ft","125 ac-ft","9 acres","1970","MO30528","TR JAMES BRANCH","37.7258","-91.2425","0","NONE","","","","MO DNR",""
"MONROE RECREATION LAKE DAM","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY00036-1300","overtopped, downstream face missing some stones Hurricane Irene","Irene","No","","","","","","","","","","L","OTRE","R","Y","14 ft","68 ac-ft","13 acres","1936","NY00036","RAMAPO RIVER","41.3242","-74.1869","0","NYS DEC","","","","",""
"MONTELLO","WI","L","Non-failure","10/13/2021","Structural Stability","Erosion","Foundation Deficiency","Settlement","WI01015-3503","Training wall downstream of gates consisting of dry-laid stone blocks exhibiting settlement.","","No","","0","0","0","None","None","Owner reduced flow through gates; DNR issued order for repair.","","","S","OTPG","O","Y","13 ft","19000 ac-ft","2210 acres","1922","WI01015","FOX","43.7857","-89.3287","0","WIDNR","","1 day","Yes","WIDNR",""
"MONTGOMERY","CO","H","Non-failure","06/05/2013","Seepage/internal Erosion","Excessive/increased Seepage","","","CO00372-2092","New seepage (near 1 cfs) at toe of rockfill dam.  Increased monitoring, performed failure modes analysis.  It was hypothesized that it was melting ice from within the rockfill of this high altitude dam after an abnormally wet and cold spring.","","","","","","","","","","","","L","ER","S","Y","112 ft","6100 ac-ft","95 acres","1956","CO00372","MIDDLE FORK S. PLATTE","39.3533","-106.074","0","DWR","","","","",""
"MOON LAKE","PA","H","Non-failure","07/22/2018","Hydrologic/flooding","Overtopping","Excessive/increased Seepage","","PA01781-3222","EXTREME RAINFALL OVERTOPPED DAM, DAMAGED DOWNSTREAM SLOPE, AND RESULTED IN SEEPAGE BOILS.","","Yes","0","2","0","0","Roads","","EAP ACTIVATED AND COMPLETE DRAWDOWN REQUIRED.","","REHAB  PROJECT APPROVED IN 2012 NOT COMPLETED WITH THERE WERE CONSTRUCTION DEFICIENCIES.","P","CNRE","R","Y","12 ft","54 ac-ft","14 acres","0","PA01781","DEEP CREEK","40.7186","-76.38","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","5 DAYS","","PA Dam Safety",""
"MOON LAKE DAM","SC","H","Non-failure","06/01/2018","Deterioration Or Poor Condition","Spillway Erosion/head Cutting","","","SC01800-3131","A late spring storm apparently caused severe head cut erosion at the downstream end of the auxiliary spillway.  Spillway erosion occurred sometime in the Spring of 2018 - exact date is unknown.  County imagery shows the headcuting just starting around 3/8/2018 and Google Earth imagery shows highly progressed headcutting by 6/3/2018.   The Department became aware of headcutting in late June 2018 when very little dam crest remained to prevent a breach.","N/A","No","0","0","0","0","","","The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair","","","P","RE","PR","Y","22 ft","74 ac-ft","7 acres","1969","SC01800","TR-SOUTH TYGER RIVER","34.9828","-82.2257","0","SC DHEC","","","","SC Dam Safety",""
"MOONSHINE CREEK DAM NO 2","TX","L","Non-failure","12/27/2015","Hydrologic/flooding","Spillway Deficiency","","","TX04344 -2915","SEVERE SPILLWAY DAMAGE","","","","","","","","","","","","P","RE","R","NR","21 ft","58 ac-ft","0 acres","1969","TX04344","TR-COON CREEK","32.1634","-95.7848","0","TCEQ","","","","",""
"MOORE-029","NC","","Failure","01/01/2008","Seepage/internal Erosion","Piping","","","NC00000-171","","","No","","","","","","","","","MOORE-029 Built without permit, piping upon first filling","","","","","0 ft","0 ac-ft","0 acres","0","NC00000","","0","0","0","","","","","",""
"MOORE-030","NC","","Failure","01/01/2008","Seepage/internal Erosion","Piping","","","NC00000-172","","","No","","","","","","","","","MOORE-030  Built without permit, piping upon first filling","","","","","0 ft","0 ac-ft","0 acres","0","NC00000","","0","0","0","","","","","",""
"MORELLI","PA","L","Non-failure","06/26/2006","Hydrologic/flooding","Overtopping","","","PA00000-3238","DAM OVERTOPPED AND THERE WAS MAJOR DAMAGE.","","","0","0","","","","","EMERGENCY PERMIT ISSUED TO BREACH UNTIL OWNER DECIDES FUTURE OF DAM.","","IN 2007 OWNER OBTAINED PERMIT TO REPAIR THE DAM AND ALSO COMPLETED THE WORK IN 2007.","P","RE","R","","15 ft","0 ac-ft","0 acres","1969","PA00000","TR SUSQUEHANNA RIVER","41.5531","-75.4649","0","PADEP","","3 DAYS","","PA Dam Safety",""
"MORGAN DAM","NE","L","Failure","06/12/2010","Hydrologic/flooding","Overtopping","","","NE00000-1230","overtopped and breached","","No","","0","","0","Roads","","","341 ac-ft","The failure of this dam helped cause the downstream Gracie Creek Road Dam to overtop and fail.  The two-lane state highway which washed out ran along the top of the Gracie Creek Road Dam.  This dam was removed from the dam inventory after it breached in 1999.  It was rebuilt without the knowledge of the NE DNR. A downstream two-lane state highway was washed away.","","RE","O","","20 ft","0 ac-ft","0 acres","1960","NE00000","GRACIE CREEK","0","0","0","NE DNR","","","","",""
"MORRIS DAM","NC","S","Non-failure","06/07/2013","Hydrologic/flooding","Overtopping","","","NC00021-1683","Dam overtopped during passage of TD Andrea","","No","","0","","0","None","","","0 ac-ft","An auxilary relief channel had to be excavated through an abutment.  Threatened Swanns Station Road downstream from Dam","P","RE","P","N","12 ft","153 ac-ft","0 acres","0","NC00021","JUNIPER CREEK","35.379","-79.132","0","","","","","",""
"MORRIS MILL POND (SOUTH DIVISION STREET)","MD","H","Non-failure","10/01/2018","Hydrologic/flooding","Overtopping","Debris Clogging","","MD00131-3284","","Hurricane Michael","No","None","None","None","None","Roads","","","","","L","RE","RI","Y","11 ft","191 ac-ft","11 acres","1947","MD00131","SLAB BRIDGE CREEK","38.326","-75.6024","2018","MD DAM SAFETY","","1 year","No","MD DAM SAFETY",""
"MORRIS MILL POND (SOUTH DIVISION STREET)","MD","H","Non-failure","08/12/2017","Hydrologic/flooding","Insufficient Spillway Capacity","Erosion","","MD0019-3161","Heavy rain, DS embankment erosion","","Yes","","","","","","","Pool level subsided","","","L","RE","RI","Y","11 ft","191 ac-ft","11 acres","1947","MD00199","SLAB BRIDGE CREEK","38.326","-75.6024","2018","MD DAM SAFETY","","","","MD Dam Safety",""
"MOSHER BIG LAKE DAM","TX","S","Non-failure","05/30/2016","Hydrologic/flooding","Overtopping","","","TX02913-2903","OVERTOPPED, DID NOT BREACH EXTENSIVE SLOPE DAMAGE","","","","","","","","","","","","P","RE","R","N","26 ft","342 ac-ft","39 acres","1942","TX02913","TR-BANDERA CREEK","29.7839","-99.0648","1990","TCEQ","","","","",""
"MOSS CREEK LAKE DAM","TX","H","Non-failure","02/23/2000","Unknown","Spillway Deficiency","","","TX03798-2737","SPWY FAILURE","","","","","","","","","","","","L","RE","SR","Y","67 ft","5700 ac-ft","146 acres","1939","TX03798","MOSS CREEK TRIBUTARY TO BEALS CREEK","32.2436","-101.311","0","TCEQ","","","","TX DEQ",""
"MOUNT LAUREL (MUD RUN)","PA","H","Non-failure","07/11/2012","Structural Stability","Cracking","","","PA00690-3198","DURING REHAB, A 100' CRACK DEVELOPED ON THE CREST EXTENDING FROM SPILLWAY TO CENTER OF DAM.","","Yes","0","0","","","","","CONTRACTOR COMPLETED INSTALLING SHEET PILING TO ISOLATE CRACK.  PLAN TO MONITOR BY CONSULTANT.","0 ac-ft","CONTRACTOR WAS WORKING IN THIS AREA INSTALLING SHEET PILING.  EAP EARLY WARNING","L","MSRE","S","Y","39 ft","852 ac-ft","48 acres","1879","PA00690","MUD RUN","40.7703","-76.2311","2013","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","5:00:00 PM","","","PA Dam Safety",""
"MOUNTAIN CREEK DAM","TX","H","Non-failure","05/30/2015","Hydrologic/flooding","Sliding","","","TX00827-2687","SLIDES","","","","","","","","","","","","P","RE","O","Y","47 ft","64372 ac-ft","2880 acres","1936","TX00827","MOUNTAIN CREEK","32.7326","-96.9437","1999","TCEQ","","","","TX DEQ",""
"MOUNTAIN CREEK WS SCS SITE 10 DAM","TX","H","Non-failure","05/27/2015","Hydrologic/flooding","Overtopping","","","TX01309-2706","OVERTOPPING, DID NOT BREACH, CONSTRUCTION COFFERDAM","","","","","","","","","","","","L","RE","CR","N","43 ft","6457 ac-ft","90 acres","1956","TX01309","NEWTON BRANCH","32.498","-97.0421","0","TCEQ","","","","TX DEQ",""
"MOUNTAIN VALLEY DAM NO 1","TX","H","Non-failure","02/22/2018","Unknown","Unknown","","","TX04797-3140","SPILLWAY FAILURE","","","","","","","","","","","","P","RE","IR","Y","18 ft","150 ac-ft","15 acres","1960","TX04797","VILLAGE CREEK","32.4897","-97.3652","1980","TCEQ","","","","TX CEQ",""
"MOUNTAINDALE RECREATION LAKE DAM","NY","L","Failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY00982-1285","Dam overtopped and breached Hurricane Irene.","Irene","No","","","","","","","","","","L","RE","R","N","16 ft","66 ac-ft","11 acres","1973","NY00982","BRADEN BROOK","41.6969","-74.5181","0","NYS DEC","","","","",""
"MS04059 LAKE DAM","MS","L","Failure","06/25/2021","Deterioration Or Poor Condition","Vegetation","Animal Activity","Foundation Deficiency","MS04059-3476","The dam failed in the center, near the high point of the dam.  Unable to identify specific failure mode.","","N","0","0","0","0","0","0","","160 ac-ft","","P","RE","R","NR","11 ft","225 ac-ft","31 acres","0","MS04059","","30.7187","-89.5491","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","Night","","Y","MDEQ Dam Safety",""
"MS04127 LAKE DAM","MS","U","Non-failure","04/16/2021","Hydrologic/flooding","","","","MS04127-3477","Undersized Aux clogged with vegetation, lead to overtopping.  Flow caused headcut below outfall.","","N","0","0","0","0","0","0","Directed owner to clear and widen aux. spillway.","0 ac-ft","","P","RE","R","NR","10 ft","79 ac-ft","12 acres","0","MS04127","","30.6417","-89.7075","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","N","MDEQ Dam Safety",""
"MS04462 LAKE DAM","MS","U","Non-failure","02/11/2020","Hydrologic/flooding","Overtopping","","","MS04462-3478","Blockage of primary caused dam to overtop; substantially scoured and eroded backslope of dam.","","N","0","0","0","0","0","0","","","","P","RE","R","NR","9 ft","62 ac-ft","10 acres","0","MS04462","","32.8335","-90.3566","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","N","MDEQ Dam Safety",""
"MS05688 LAKE DAM","MS","L","Non-failure","04/06/2021","Hydrologic/flooding","","","","MS05688-3481","Headcutting at the auxilary spillway approx. 30 feet from the dam. The headcut is approx. 15 feet deep.","","N","0","0","0","0","0","0","Owner directed to take actions to lower water level in dam to dry spillway so a contractor can backfill and repair.","","","P","RE","R","NR","18 ft","235 ac-ft","19 acres","0","MS05688","","34.5871","-89.3807","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","Y","MDEQ Dam Safety",""
"MS06876 LAKE DAM","MS","U","Failure","04/12/2020","Hydrologic/flooding","Overtopping","Foundation Deficiency","","MS06876-3482","Overtopping during rainfall event (8 in in 24 hrs) leading to headcut erosion through width of dam.","","N","0","0","0","0","0","0","","131 ac-ft","","P","RE","R","NR","29 ft","131 ac-ft","7 acres","0","MS06876","","32.8735","-89.4027","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","1 day","N","MDEQ Dam Safety",""
"MT.VERNON ESTATES","NC","H","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","NC02160-2973","dam overtopped & partially breached, head cut scarp","Matthew","No","0","","0","","","$1 million to $5 million","","","","P","RE","R","N","14 ft","4056 ac-ft","0 acres","0","NC02160","KIRKS MILL CREEK","34.853","-78.876","0","NCDENR","","1 day","","NCDEQ",""
"MUD POND","MA","","Failure","01/01/1886","Seepage/internal Erosion","Piping","","","MA00000-101","","","No","7","","","","","","","","Rebuilt; new dam (Lee Lake) failed in 1968. Fatalities: 7 -","","","","","0 ft","0 ac-ft","0 acres","0","MA00000","GREENWATER BROOK","0","0","0","","","","","",""
"MUDMILL POND DAM","DE","","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","DE00000-1209","Dam overtopped & caused minor to moderate erosion at the top of the downstream slope along the road edge, along the entire length of the dam.  Emergency repairs were made to the roadway.","Irene","No","","0","","0","","None","","0 ac-ft","","","","","","0 ft","0 ac-ft","0 acres","0","DE00000","","0","0","0","","","","","",""
"MULLET CREEK","WI","L","Non-failure","05/28/2015","Seepage/internal Erosion","Sinkhole","","","WI00933-2854","seepage noted, sinkhole formed","","","","","","","","","","","seepage noted, sinkhole formed, ordered drawn down and removed until reconstructed.","S","RE","F","N","9 ft","1250 ac-ft","300 acres","1971","WI00933","MULLET","43.7582","-88.176","0","WIDNR","","","","WI DNR",""
"MULLICA HILL POND DAM","NJ","S","Non-failure","08/27/2011","Hydrologic/flooding","Overtopping","","","NJ00639-1189","overtopped, erosion of d/s slope","Irene","No","","0","","","Roads","","","0 ac-ft","State Highway (NJ Rt 322) temporarily closed","S","PGRE","R","N","19 ft","0 ac-ft","10 acres","1922","NJ00639","RACCOON CREEK","39.7346","-75.2213","0","NJDEP","","","","",""
"Murphy Road Dam","MS","L","Non-failure","01/28/2020","Deterioration Or Poor Condition","Sinkhole","","","MS00000-3487","Sinkholes identified and would lead to failure.  Owner ordered to repair.","","N","0","0","0","0","0","0","EMA agreed to contact landowner regarding necessary repairs.","","","P","RE","R","NO","0 ft","0 ac-ft","3 acres","0","MS00000","","32.3661","-88.77","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","N","MDEQ Dam Safety",""
"MURRAY POND DAM","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00051-2639","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","16 ft","1310 ac-ft","148 acres","1930","SC00051","COLONELS CK","33.985","-80.7083","0","SCDHEC","","","","SC DHEC Website",""
"MUSKINGUM RIVER LOCK AND DAM NO. 7","OH","S","Non-failure","02/23/2012","Deterioration Or Poor Condition","Other","","","OH00697-1782","Partial Failure of Sheet Piling Dam","","Yes","","0","","0","None","none","","0 ac-ft","","S","OTOT","R","Y","15 ft","2999 ac-ft","442 acres","1841","OH00697","MUSKINGUM RIVER","39.64","-81.85","0","DEPARTMENT OF NATURAL RESOURCES","12:00 AM","","","",""
"MUSKINGUM RIVER LOCK AND DAM NO. 7","OH","S","Non-failure","04/01/2015","Deterioration Or Poor Condition","Erosion","","","OH00697-3060","Severe erosion in the right abutment. Right abutment and downstream of dam were reinforced with drumped rock. Part of which were later grouted.","","No","0","0","0","0","","","","","","S","OT","O","Y","15 ft","2999 ac-ft","442 acres","1841","OH00697","MUSKINGUM RIVER","39.6439","-81.8503","0","DEPARTMENT OF NATURAL RESOURCES","","1 week","No","OH DNR",""
"MYRON ISABEL","CO","","Failure","01/01/1978","Seepage/internal Erosion","Piping","","","CO00000-136","","","No","","","","","","","","","insignificant damages. Piping due to tree roots & animal burrows.","","","","","0 ft","0 ac-ft","0 acres","0","CO00000","","0","0","0","","","","","",""
"NABORS LAKE DAM","TX","L","Non-failure","04/25/1990","Hydrologic/flooding","Overtopping","","","TX03465-2774","OVERTOPPING","","","","","","","","","","","","P","RE","R","NR","33 ft","595 ac-ft","41 acres","1947","TX03465","FADE CREEK","32.123","-98.6038","1991","TCEQ","","","","TX DEQ",""
"NEAR KIM LAKE DAM","TX","S","Non-failure","07/18/2007","Unknown","Spillway Deficiency","","","TX00103-2722","S.S. FAILED, DID NOT BREACH","","","","","","","","","","","","P","RE","R","Y","19 ft","293 ac-ft","18 acres","1963","TX00103","TR-LAKE CREEK","30.2923","-95.7233","2010","TCEQ","","","","TX DEQ",""
"NESBITT","PA","H","Non-failure","02/23/2012","Seepage/internal Erosion","Settlement","","","PA00449-3189","A DEPRESSION, 10' ACROSS & 3' DEEP, FOUND ON UPSTREAM SLOPE DURING MAJOR REHAB PROJECT","","No","0","0","","","","","FURTHER DRAWDOWN WAS INITIATED, SITE WAS MONITORED, AND DEPRESSION INVESTIGATED BY EXCAVATION.","","LOCATION OF DEPRESSION WAS AT NORMAL POOL LEVEL BUT NOT WITHIN REHAB PROJECT AREA","U","MSREST","HS","Y","101 ft","5034 ac-ft","116 acres","1903","PA00449","SPRING BROOK","41.3264","-75.6536","2012","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
